player_id,n,outs,xouts,oaa,oaa_per,position
7467,1,0,0.11461710626137818,-0.11461710626137818,-0.11461710626137818,lf
8574,3,1,1.3461323648913062,-0.34613236489130617,-0.11537745496376872,lf
3141,6,1,1.7470600794629796,-0.7470600794629796,-0.12451001324382993,lf
4679,6,1,1.9366467120925952,-0.9366467120925952,-0.15610778534876588,lf
3036,12,1,2.88283686994188,-1.88283686994188,-0.15690307249515667,lf
3428,8,2,3.3267205465445207,-1.3267205465445207,-0.16584006831806508,lf
3656,5,0,0.8549911392622226,-0.8549911392622226,-0.1709982278524445,lf
2006,14,4,6.532390097440886,-2.532390097440886,-0.1808850069600633,lf
1725,12,2,4.178145254335203,-2.1781452543352033,-0.18151210452793362,lf
6672,4,1,1.7388186219065185,-0.7388186219065185,-0.18470465547662962,lf
